
# Efinity Pinout Report
# Version: 2025.1.110.5.9
# Date: 2025-11-12 23:50

# Copyright (C) 2013 - 2025 Efinix Inc. All rights reserved.

# Device: Ti375C529
# Package status: final
# Project: tools_core
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
E13,GPIOR_103,,Input,TR2,3.3 V,,weak pullup,User IO
E14,GPIOR_104,,Input,TR2,3.3 V,,weak pullup,User IO
E15,GPIOR_107,,Input,TR2,3.3 V,,weak pullup,User IO
E16,GPIOR_105,,Input,TR2,3.3 V,,weak pullup,User IO
E17,GND,,Power,,,,,Ground
E18,GPIOT_N_61,,,2E,1.8 V,,,User IO/PLL_EXTFB
E19,GPIOT_N_64_CLK15_N,,,2E,1.8 V,,,User IO/GCLK
E20,GPIOT_P_36_CLK19_P,,,2C,1.8 V,,,User IO/GCLK
E21,GPIOT_P_29,,,2C,1.8 V,,,User IO/VREF
E22,VCCIO2C,,Power,2C,1.8 V,,,VCCIO Power
E23,GPIOT_N_23,,,2C,1.8 V,,,User IO/PLL_CLKIN
F1,GPIOB_N_18_CLK5_N,,,4C,1.8 V,,,User IO/GCLK
F2,GPIOB_P_17_CLK4_P,,,4C,1.8 V,,,User IO/GCLK
F3,GPIOB_N_24_CDI14,,,4C,1.8 V,,,User IO
F4,GPIOB_N_33,,,4A_4B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
F5,VCCIO4A_4B,,Power,4A_4B,1.8 V,,,VCCIO Power
F6,GPIOB_P_42,,,4A_4B,1.8 V,,,User IO
F7,VQPS,,Power,BR,,,,
F8,CDONE,,Output,4A_4B,1.8 V,,,Configuration
F9,CRESET_N,,Input,4A_4B,1.8 V,,,Configuration
F10,GND,,Power,,,,,Ground
F11,GPIOR_141,,Input,BR0,3.3 V,,weak pullup,User IO/PCIE_PERSTN
F12,GPIOR_101_PLLIN1,,Input,TR2,3.3 V,,weak pullup,User IO/PLL_CLKIN
F13,GPIOR_106,,Input,TR2,3.3 V,,weak pullup,User IO
F14,GPIOR_108,,Input,TR2,3.3 V,,weak pullup,User IO
F15,VCCIO33_TR2,,Power,TR2,3.3 V,,,VCCIO Power
F16,GPIOR_90,,Input,TR0,3.3 V,,weak pullup,User IO
F17,GPIOR_91,,Input,TR0,3.3 V,,weak pullup,User IO
F18,GPIOT_P_61_EXTFB,,,2E,1.8 V,,,User IO/PLL_EXTFB
F19,GPIOT_P_64_CLK15_P,,,2E,1.8 V,,,User IO/GCLK
F20,VCCIO2C,,Power,2C,1.8 V,,,VCCIO Power
F21,GPIOT_P_35_CLK18_P,,,2C,1.8 V,,,User IO/GCLK
F22,GPIOT_N_35_CLK18_N,,,2C,1.8 V,,,User IO/GCLK
F23,GPIOT_P_23_PLLIN0,,,2C,1.8 V,,,User IO/PLL_CLKIN
G1,GPIOB_P_23_CBSEL1,,,4C,1.8 V,,,User IO/VREF
G2,GPIOB_N_17_CLK4_N,,,4C,1.8 V,,,User IO/GCLK
G3,GND,,Power,,,,,Ground
G4,GPIOB_P_33,,,4A_4B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
G5,GPIOB_N_39_CDI2,,,4A_4B,1.8 V,,,User IO/PLL_CLKIN
G6,GPIOB_P_39_CCK_PLLIN0,,,4A_4B,1.8 V,,,User IO/PLL_CLKIN/Configuration
G7,VCCA_BR,,Power,BR,,,,0.95 V PLL Power
G8,GND,,Power,,,,,Ground
G9,TDI,,Input,BR3_BR4,3.3 V,,,Configuration
G10,TCK,,Input,BR3_BR4,3.3 V,,,Configuration
G11,VCCAUX,,Power,,,,,
G12,TMS,,Input,BR3_BR4,3.3 V,,,Configuration
G13,TDO,,Output,BR3_BR4,3.3 V,,,Configuration
G14,VCCAUX,,Power,,,,,
G15,GPIOR_88_PLLIN1,,Input,TR0,3.3 V,,weak pullup,User IO/PLL_CLKIN
G16,GPIOR_89,,Input,TR0,3.3 V,,weak pullup,User IO
G17,GPIOR_92,,Input,TR0,3.3 V,,weak pullup,User IO
G18,VCCIO2E,,Power,2E,1.8 V,,,VCCIO Power
G19,GPIOT_N_63_CLK14_N,,,2E,1.8 V,,,User IO/GCLK
G20,GPIOT_N_34_CLK17_N,,,2C,1.8 V,,,User IO/GCLK
G21,GPIOT_P_28,,,2C,1.8 V,,,User IO
G22,GPIOT_N_28,,,2C,1.8 V,,,User IO
G23,GND,,Power,,,,,Ground
H1,GND,,Power,,,,,Ground
H2,GPIOB_N_23_CBSEL0,,,4C,1.8 V,,,User IO
H3,GPIOB_P_28,,,4C,1.8 V,,,User IO
H4,GPIOB_N_40_CDI0,,,4A_4B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK/PLL_EXTFB/Configuration
H5,GPIOB_P_40_CDI1_EXTFB,,,4A_4B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK/PLL_EXTFB/Configuration
H6,VCCIO4A_4B,,Power,4A_4B,1.8 V,,,VCCIO Power
H7,VCCAUX,,Power,,,,,
H8,VCC,,Power,,,,,0.95 V VCC Power
H9,GND,,Power,,,,,Ground
H10,VCC,,Power,,,,,0.95 V VCC Power
H11,GND,,Power,,,,,Ground
H12,VCC,,Power,,,,,0.95 V VCC Power
H13,GND,,Power,,,,,Ground
H14,VCC,,Power,,,,,0.95 V VCC Power
H15,GND,,Power,,,,,Ground
H16,VCC,,Power,,,,,0.95 V VCC Power
H17,VCCIO33_TR0,,Power,TR0,3.3 V,,,VCCIO Power
H18,GPIOT_N_56,,,2E,1.8 V,,,User IO
H19,GPIOT_P_63_CLK14_P,,,2E,1.8 V,,,User IO/GCLK
H20,GPIOT_P_34_CLK17_P,,,2C,1.8 V,,,User IO/GCLK
H21,VCCIO2C,,Power,2C,1.8 V,,,VCCIO Power
H22,GPIOT_P_24_EXTFB,,,2C,1.8 V,,,User IO/PLL_EXTFB
H23,GPIOT_N_24,,,2C,1.8 V,,,User IO/PLL_EXTFB
J1,GPIOB_P_19_NSTATUS_CLK6_P,,,4C,1.8 V,,,User IO/GCLK/MIPI_GCLK/MIPI_RCLK/Configuration
J2,GPIOB_N_19_TEST_N_CLK6_N,,,4C,1.8 V,,,User IO/GCLK/MIPI_GCLK/MIPI_RCLK/Configuration
J3,GPIOB_N_28,,,4C,1.8 V,,,User IO
J4,VCCIO4C,,Power,4C,1.8 V,,,VCCIO Power
J5,GPIOB_N_43_CSI_CLK10_N,,,4A_4B,1.8 V,,,User IO/GCLK/Configuration
J6,GPIOB_P_43_CSO_CLK10_P,,,4A_4B,1.8 V,,,User IO/GCLK/Configuration
J7,REF_RES_4A,,Input,4A_4B,1.8 V,,,
J8,GND,,Power,,,,,Ground
J9,VCC,,Power,,,,,0.95 V VCC Power
J10,GND,,Power,,,,,Ground
J11,VCC,,Power,,,,,0.95 V VCC Power
J12,GND,,Power,,,,,Ground
J13,VCC,,Power,,,,,0.95 V VCC Power
J14,GND,,Power,,,,,Ground
J15,VCC,,Power,,,,,0.95 V VCC Power
J16,GND,,Power,,,,,Ground
J17,REF_RES_2E,,Input,2E,1.8 V,,,
J18,GPIOT_P_56,,,2E,1.8 V,,,User IO
J19,GND,,Power,,,,,Ground
J20,GPIOT_P_17,,,2B,1.8 V,,,User IO
J21,GPIOT_P_16,,,2B,1.8 V,,,User IO
J22,GPIOT_P_10_CLK27_P,,,2B,1.8 V,,,User IO/GCLK/RCLK
J23,GPIOT_N_10_CLK27_N,,,2B,1.8 V,,,User IO/GCLK/RCLK
K1,GPIOB_P_14_CDI19_CLK1_P,,,4D,1.8 V,,,User IO/GCLK
K2,GND,,Power,,,,,Ground
K3,GPIOB_P_29_CDI11_EXTFB,,,4C,1.8 V,,,User IO/PLL_EXTFB
K4,GPIOB_N_29_CDI10,,,4C,1.8 V,,,User IO/PLL_EXTFB
K5,GPIOB_P_26_EXTSPICLK,,,4C,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK/Configuration
K6,GPIOB_P_25_CDI13,,,4C,1.8 V,,,User IO
K7,REF_RES_4B,,Input,4A_4B,1.8 V,,,
K8,VCC,,Power,,,,,0.95 V VCC Power
K9,GND,,Power,,,,,Ground
K10,VCC,,Power,,,,,0.95 V VCC Power
K11,GND,,Power,,,,,Ground
K12,VCC,,Power,,,,,0.95 V VCC Power
K13,GND,,Power,,,,,Ground
K14,VCC,,Power,,,,,0.95 V VCC Power
K15,GND,,Power,,,,,Ground
K16,VCCA_TR,,Power,TR,,,,0.95 V PLL Power
K17,GND,,Power,,,,,Ground
K18,GPIOT_P_49_EXTFB,,,2D,1.8 V,,,User IO/PLL_EXTFB
K19,GPIOT_N_49,,,2D,1.8 V,,,User IO/PLL_EXTFB
K20,GPIOT_N_17,,,2B,1.8 V,,,User IO
K21,GPIOT_N_16,,,2B,1.8 V,,,User IO
K22,VCCIO2B,,Power,2B,1.8 V,,,VCCIO Power
K23,GPIOT_P_21,,,2B,1.8 V,,,User IO
L1,GPIOB_N_14_CDI18_CLK1_N,,,4D,1.8 V,,,User IO/GCLK
L2,GPIOB_P_15_CDI17_CLK2_P,,,4D,1.8 V,,,User IO/GCLK
L3,GPIOB_P_11,,,4D,1.8 V,,,User IO
L4,GPIOB_N_26_SSU_N,,,4C,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK/Configuration
L5,VCCIO4C,,Power,4C,1.8 V,,,VCCIO Power
L6,GPIOB_N_25_CDI12,,,4C,1.8 V,,,User IO
L7,VCCAUX,,Power,,,,,
L8,GND,,Power,,,,,Ground
L9,VCC,,Power,,,,,0.95 V VCC Power
L10,GND,,Power,,,,,Ground
L11,VCC,,Power,,,,,0.95 V VCC Power
L12,GND,,Power,,,,,Ground
L13,VCC,,Power,,,,,0.95 V VCC Power
L14,GND,,Power,,,,,Ground
L15,VCC,,Power,,,,,0.95 V VCC Power
L16,VCCAUX,,Power,,,,,
L17,GPIOT_P_50_PLLIN0,,,2D,1.8 V,,,User IO/PLL_CLKIN
L18,GPIOT_N_50,,,2D,1.8 V,,,User IO/PLL_CLKIN
L19,GPIOT_P_20,,,2B,1.8 V,,,User IO
L20,VCCIO2B,,Power,2B,1.8 V,,,VCCIO Power
L21,GPIOT_P_11_CLK30_P,,,2B,1.8 V,,,User IO/GCLK/MIPI_GCLK/MIPI_RCLK
L22,GPIOT_N_11_CLK30_N,,,2B,1.8 V,,,User IO/GCLK/MIPI_GCLK/MIPI_RCLK
L23,GPIOT_N_21,,,2B,1.8 V,,,User IO
M1,GPIOB_P_09,,,4D,1.8 V,,,User IO/VREF
M2,GPIOB_N_15_CDI16_CLK2_N,,,4D,1.8 V,,,User IO/GCLK
M3,VCCIO4D,,Power,4D,1.8 V,,,VCCIO Power
M4,GPIOB_N_11,,,4D,1.8 V,,,User IO
M5,GPIOB_P_22,,,4C,1.8 V,,,User IO
M6,GPIOB_N_22,,,4C,1.8 V,,,User IO
M7,REF_RES_4D,,Input,4D,1.8 V,,,
M8,VCC,,Power,,,,,0.95 V VCC Power
M9,GND,,Power,,,,,Ground
M10,VCC,,Power,,,,,0.95 V VCC Power
M11,GND,,Power,,,,,Ground
M12,VCC,,Power,,,,,0.95 V VCC Power
M13,GND,,Power,,,,,Ground
M14,VCC,,Power,,,,,0.95 V VCC Power
M15,GND,,Power,,,,,Ground
M16,GPIOT_P_43,,,2D,1.8 V,,,User IO/VREF
M17,GPIOT_N_43,,,2D,1.8 V,,,User IO
M18,VCCIO2D,,Power,2D,1.8 V,,,VCCIO Power
M19,GPIOT_N_20,,,2B,1.8 V,,,User IO
M20,GPIOT_P_13_PLLIN0,,,2B,1.8 V,,,User IO/PLL_CLKIN
M21,GPIOT_P_22,,,2B,1.8 V,,,User IO
M22,GPIOT_N_22,,,2B,1.8 V,,,User IO
M23,GND,,Power,,,,,Ground
N1,GND,,Power,,,,,Ground
N2,GPIOB_N_09,,,4D,1.8 V,,,User IO
N3,GPIOB_P_13_CDI21_CLK0_P,,,4D,1.8 V,,,User IO/GCLK
N4,GPIOB_N_12,,,4D,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
N5,GPIOB_P_12,,,4D,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
N6,GND,,Power,,,,,Ground
N7,GPIOB_P_08_CDI22_EXTFB,,,4D,1.8 V,,,User IO/PLL_EXTFB
N8,GND,,Power,,,,,Ground
N9,VCC,,Power,,,,,0.95 V VCC Power
N10,GND,,Power,,,,,Ground
N11,VCC,,Power,,,,,0.95 V VCC Power
N12,GND,,Power,,,,,Ground
N13,VCC,,Power,,,,,0.95 V VCC Power
N14,GND,,Power,,,,,Ground
N15,VCC,,Power,,,,,0.95 V VCC Power
N16,GND,,Power,,,,,Ground
N17,GPIOT_P_40_CLK23_P,,,2D,1.8 V,,,User IO/GCLK
N18,GPIOT_N_40_CLK23_N,,,2D,1.8 V,,,User IO/GCLK
N19,GPIOT_P_14_EXTFB,,,2B,1.8 V,,,User IO/PLL_EXTFB
N20,GPIOT_N_13,,,2B,1.8 V,,,User IO/PLL_CLKIN
N21,VCCIO2B,,Power,2B,1.8 V,,,VCCIO Power
N22,GPIOT_P_15,,,2B,1.8 V,,,User IO/VREF
N23,GPIOT_N_15,,,2B,1.8 V,,,User IO
P1,GPIOB_N_16_CLK3_N,,,4D,1.8 V,,,User IO/GCLK
P2,GPIOB_P_16_CLK3_P,,,4D,1.8 V,,,User IO/GCLK
P3,GPIOB_N_13_CDI20_CLK0_N,,,4D,1.8 V,,,User IO/GCLK
P4,VCCIO4D,,Power,4D,1.8 V,,,VCCIO Power
P5,GPIOB_P_06_CDI26_EXTFB,,,4D,1.8 V,,,User IO/PLL_EXTFB
P6,GPIOB_P_05_CDI28_PLLIN0,,,4D,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK/PLL_CLKIN
P7,GPIOB_N_08,,,4D,1.8 V,,,User IO/PLL_EXTFB
P8,VCC,,Power,,,,,0.95 V VCC Power
P9,GND,,Power,,,,,Ground
P10,VCC,,Power,,,,,0.95 V VCC Power
P11,GND,,Power,,,,,Ground
P12,VCC,,Power,,,,,0.95 V VCC Power
P13,GND,,Power,,,,,Ground
P14,VCC,,Power,,,,,0.95 V VCC Power
P15,GND,,Power,,,,,Ground
P16,VCCAUX,,Power,,,,,
P17,GPIOL_84,,Input,TL1_TL5,3.3 V,,weak pullup,User IO
P18,GPIOL_80_CLK29,,Input,TL1_TL5,3.3 V,,weak pullup,User IO/GCLK
P19,GND,,Power,,,,,Ground
P20,GPIOT_N_14,,,2B,1.8 V,,,User IO/PLL_EXTFB
P21,GPIOT_P_18,,,2B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
P22,GPIOT_N_18,,,2B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
P23,GPIOT_P_09_CLK26_P,,,2B,1.8 V,,,User IO/GCLK/RCLK
R1,GPIOB_P_04_CDI30_EXTFB,,,4D,1.8 V,,,User IO/PLL_EXTFB
R2,VCCIO4D,,Power,4D,1.8 V,,,VCCIO Power
R3,GPIOB_N_07_CDI23,,,4D,1.8 V,,,User IO/PLL_CLKIN
R4,GPIOB_P_07_CDI24_PLLIN0,,,4D,1.8 V,,,User IO/PLL_CLKIN
R5,GPIOB_N_06_CDI25,,,4D,1.8 V,,,User IO/PLL_EXTFB
R6,GPIOB_N_05_CDI27,,,4D,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK/PLL_CLKIN
R7,VCCAUX,,Power,,,,,
R8,GND,,Power,,,,,Ground
R9,VCC,,Power,,,,,0.95 V VCC Power
R10,GND,,Power,,,,,Ground
